,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,opponent
54,Jump Shot,Jump Shot,192,21400339,33.9063,136,138,-118.1338,3,2,0,2014-15,53,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/12/2014,SAS
55,Tip Shot,Tip Shot,289,21100567,34.0413,4,3,-118.2658,6,3,0,2011-12,24,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/6/2012,DET
56,Jump Shot,Jump Shot,449,21000521,33.8223,-168,222,-118.4378,2,4,0,2010-11,32,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1/5/2011,PHX
57,Jump Shot,Jump Shot,12,20900329,33.7923,-23,252,-118.2928,10,1,0,2009-10,26,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,12/11/2009,MIN
58,Jump Shot,Jump Shot,12,20000896,34.0423,-111,2,-118.3808,10,1,0,2000-01,23,11,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,3/9/2001,SAS
59,Jump Shot,Jump Shot,47,20600941,33.8753,123,169,-118.1468,7,1,0,2006-07,41,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,3/11/2007,DAL
60,Jump Shot,Jump Shot,243,20300187,33.9063,61,138,-118.2088,11,3,0,2003-04,6,15,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,11/23/2003,MEM
61,Pullup Jump shot,Jump Shot,461,21500308,33.8613,1,183,-118.2688,4,4,0,2015-16,56,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,12/7/2015,TOR
62,Jump Shot,Jump Shot,189,21100798,33.9663,-120,78,-118.3898,3,2,0,2011-12,3,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/3/2012,NJN
63,Layup Shot,Layup,288,20700162,34.0443,0,0,-118.2698,3,3,0,2007-08,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/21/2007,MIL
64,Jump Shot,Jump Shot,202,20201046,33.8143,140,230,-118.1298,1,2,0,2002-03,14,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,3/28/2003,WAS
65,Driving Layup Shot,Layup,459,21000467,34.0293,20,15,-118.2498,4,4,0,2010-11,12,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/29/2010,NOH
66,Running Jump Shot,Jump Shot,504,20800390,33.9693,77,75,-118.1928,3,4,0,2008-09,55,10,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,12/20/2008,ORL
67,Jump Shot,Jump Shot,424,29700775,33.8283,115,216,-118.1548,4,4,0,1997-98,38,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2/22/1998,ORL
68,Jump Shot,Jump Shot,563,21000120,33.7893,31,255,-118.2388,1,4,0,2010-11,2,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,11/11/2010,DEN
69,Jump Shot,Jump Shot,328,20801104,33.9913,67,53,-118.2028,1,3,0,2008-09,59,8,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,3/31/2009,CHA
70,Running Jump Shot,Jump Shot,65,29900571,34.0193,108,25,-118.1618,3,1,0,1999-00,11,11,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1/22/2000,POR
71,Jump Shot,Jump Shot,471,21000065,34.0113,108,33,-118.1618,6,4,0,2010-11,44,11,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/3/2010,SAC
72,Fadeaway Jump Shot,Jump Shot,293,20600738,34.0343,144,10,-118.1258,3,3,0,2006-07,54,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2/9/2007,TOR
73,Running Jump Shot,Jump Shot,265,20100259,34.0443,115,0,-118.1548,10,3,0,2001-02,9,11,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,12/5/2001,DAL
74,Turnaround Fadeaway shot,Jump Shot,315,21000560,33.9483,-103,96,-118.3728,6,3,0,2010-11,8,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1/11/2011,CLE
75,Jump Shot,Jump Shot,127,21500269,33.8803,-84,164,-118.3538,11,2,0,2015-16,6,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,12/2/2015,WAS
76,Running Finger Roll Layup Shot,Layup,313,21500308,34.0333,2,11,-118.2678,7,3,0,2015-16,38,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/7/2015,TOR
77,Jump Shot,Jump Shot,83,20700970,33.9493,227,95,-118.0428,2,1,0,2007-08,58,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,3/14/2008,NOH
78,Layup Shot,Layup,258,20100934,34.0443,0,0,-118.2698,8,3,0,2001-02,11,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/15/2002,LAC
79,Turnaround Jump Shot,Jump Shot,496,20801152,34.0193,129,25,-118.1408,3,4,0,2008-09,56,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,4/5/2009,LAC
80,Driving Layup Shot,Layup,78,21100604,34.0413,20,3,-118.2498,3,1,0,2011-12,20,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/11/2012,BOS
81,Jump Shot,Jump Shot,392,20500741,33.8983,84,146,-118.1858,9,4,0,2005-06,9,16,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2/11/2006,MEM
82,Running Jump Shot,Jump Shot,258,20000958,33.9953,-1,49,-118.2708,10,3,0,2000-01,33,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,3/18/2001,ORL
83,Layup Shot,Layup,391,20400461,34.0443,0,0,-118.2698,10,4,0,2004-05,7,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1/5/2005,DAL
84,Fadeaway Jump Shot,Jump Shot,235,21200256,34.0183,95,26,-118.1748,4,2,0,2012-13,14,9,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,12/4/2012,HOU
85,Jump Shot,Jump Shot,332,40100404,33.8203,1,224,-118.2688,10,4,1,2001-02,27,22,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,6/12/2002,NJN
86,Running Jump Shot,Jump Shot,425,29900800,33.9683,-31,76,-118.3008,3,4,0,1999-00,39,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2/27/2000,HOU
87,Jump Shot,Jump Shot,245,29901114,33.8823,-98,162,-118.3678,1,2,0,1999-00,27,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/10/2000,SEA
88,Jump Shot,Jump Shot,282,21200062,33.7943,0,250,-118.2698,10,3,0,2012-13,15,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,11/7/2012,UTA
89,Jump Shot,Jump Shot,474,21200583,33.8963,152,148,-118.1178,6,4,0,2012-13,33,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1/17/2013,MIA
90,Jump Shot,Jump Shot,379,20500480,34.0443,-232,0,-118.5018,11,4,0,2005-06,33,23,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1/7/2006,LAC
91,Jump Shot,Jump Shot,450,20600714,33.8783,200,166,-118.0698,2,4,0,2006-07,22,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2/5/2007,ATL
92,Jump Shot,Jump Shot,361,49600057,33.9513,-142,93,-118.4118,9,4,1,1996-97,56,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,5/12/1997,UTA
93,Reverse Layup Shot,Layup,264,21501164,34.0373,-12,7,-118.2818,0,2,0,2015-16,24,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/5/2016,LAC
94,Jump Shot,Jump Shot,64,20001136,33.9263,106,118,-118.1638,5,1,0,2000-01,5,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,4/12/2001,MIN
95,Turnaround Jump Shot,Jump Shot,519,21500422,33.8903,-32,154,-118.3018,0,4,0,2015-16,32,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,12/22/2015,DEN
96,Jump Shot,Jump Shot,238,29600748,33.8263,105,218,-118.1648,6,3,0,1996-97,53,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2/19/1997,CLE
97,Jump Shot,Jump Shot,46,20800709,33.9073,-212,137,-118.4818,8,1,0,2008-09,3,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2/2/2009,NYK
98,Layup Shot,Layup,461,20300284,34.0443,0,0,-118.2698,2,4,0,2003-04,5,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/7/2003,UTA
99,Jump Shot,Jump Shot,105,20200223,34.0553,227,-11,-118.0428,0,1,0,2002-03,46,22,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,11/29/2002,MEM
100,Fadeaway Jump Shot,Jump Shot,582,20900935,33.9813,108,63,-118.1618,0,4,0,2009-10,31,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,3/7/2010,ORL
101,Reverse Slam Dunk Shot,Dunk,387,20900045,34.0443,0,0,-118.2698,0,3,0,2009-10,58,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/1/2009,ATL
102,Jump Shot,Jump Shot,532,20201113,33.9623,-126,82,-118.3958,4,5,0,2002-03,43,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/6/2003,PHX
103,Jump Shot,Jump Shot,518,20800277,34.0183,192,26,-118.0778,1,4,0,2008-09,0,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,12/5/2008,WAS
104,Slam Dunk Shot,Dunk,154,29800088,34.0443,0,0,-118.2698,8,2,0,1998-99,23,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2/16/1999,CHA
105,Jump Shot,Jump Shot,233,20400328,33.9393,161,105,-118.1088,8,3,0,2004-05,40,19,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,12/16/2004,SAC
106,Layup Shot,Layup,194,20700259,34.0443,0,0,-118.2698,4,2,0,2007-08,37,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/4/2007,MIN
107,Driving Reverse Layup Shot,Layup,300,40700406,34.0443,-13,0,-118.2828,4,3,1,2007-08,27,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,6/17/2008,BOS
108,Running Jump Shot,Jump Shot,462,20500741,34.0273,140,17,-118.1298,2,4,0,2005-06,56,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2/11/2006,MEM
109,Jump Shot,Jump Shot,514,20501078,33.8843,-48,160,-118.3178,1,4,0,2005-06,2,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,3/31/2006,SEA
110,Driving Layup Shot,Layup,370,20700868,34.0443,0,0,-118.2698,6,4,0,2007-08,11,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2/29/2008,POR
111,Jump Shot,Jump Shot,391,20000828,33.9263,180,118,-118.0898,5,4,0,2000-01,11,21,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2/28/2001,DEN
112,Jump Shot,Jump Shot,328,20700988,33.8403,125,204,-118.1448,0,3,0,2007-08,47,23,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,3/16/2008,HOU
113,Jump Shot,Jump Shot,440,20300881,33.8703,133,174,-118.1368,0,4,0,2003-04,31,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,3/3/2004,HOU
114,Jump Shot,Jump Shot,373,20501089,33.7913,102,253,-118.1678,4,4,0,2005-06,45,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/2/2006,HOU
115,Jump Shot,Jump Shot,180,40700226,33.8243,-87,220,-118.3568,6,2,1,2007-08,20,23,0,3PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,5/16/2008,UTA
116,Jump Shot,Jump Shot,260,20800751,33.9593,70,85,-118.1998,9,3,0,2008-09,37,11,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,2/8/2009,CLE
117,Layup Shot,Layup,145,20000981,34.0443,0,0,-118.2698,7,2,0,2000-01,42,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/21/2001,MIL
118,Jump Shot,Jump Shot,38,21500253,33.9293,61,115,-118.2088,7,1,0,2015-16,56,13,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,11/29/2015,IND
119,Jump Shot,Jump Shot,457,40000083,33.9473,-16,97,-118.2858,1,4,1,2000-01,19,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,6/6/2001,PHI
120,Jump Shot,Jump Shot,405,21001187,33.9363,-217,108,-118.4868,5,4,0,2010-11,44,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/8/2011,POR
121,Turnaround Fadeaway shot,Jump Shot,324,21200736,33.9133,-97,131,-118.3668,5,3,0,2012-13,42,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2/8/2013,CHA
122,Jump Shot,Jump Shot,12,20200774,33.8403,-135,204,-118.4048,10,1,0,2002-03,43,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2/19/2003,UTA
123,Jump Shot,Jump Shot,57,20600355,33.9063,-181,138,-118.4508,4,1,0,2006-07,26,22,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,12/17/2006,WAS
124,Jump Shot,Jump Shot,472,20600431,33.9673,74,77,-118.1958,1,4,0,2006-07,13,10,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,12/29/2006,CHA
125,Jump Shot,Jump Shot,48,20300625,33.8763,-39,168,-118.3088,4,1,0,2003-04,16,17,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1/24/2004,UTA
126,Jump Shot,Jump Shot,449,29900327,33.8203,-8,224,-118.2778,0,4,0,1999-00,30,22,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,12/17/1999,MIN
127,Jump Shot,Jump Shot,35,29800160,33.9233,14,121,-118.2558,6,1,0,1998-99,35,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2/25/1999,LAC
128,Pullup Jump shot,Jump Shot,310,21500308,33.9343,-187,110,-118.4568,7,3,0,2015-16,52,21,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,12/7/2015,TOR
129,Jump Shot,Jump Shot,498,21500269,33.9153,25,129,-118.2448,3,4,0,2015-16,52,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,12/2/2015,WAS
130,Reverse Layup Shot,Layup,402,20100490,34.0313,-12,13,-118.2818,11,4,0,2001-02,52,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1/9/2002,IND
131,Jump Shot,Jump Shot,239,20800732,33.8873,99,157,-118.1708,0,2,0,2008-09,27,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2/5/2009,BOS
132,Jump Shot,Jump Shot,530,21500095,33.8693,130,175,-118.1398,1,4,0,2015-16,42,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/8/2015,NYK
133,Jump Shot,Jump Shot,223,40700226,33.9733,20,71,-118.2498,0,2,1,2007-08,45,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,5/16/2008,UTA
134,Driving Layup Shot,Layup,21,20100413,34.0443,0,0,-118.2698,9,1,0,2001-02,42,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/28/2001,TOR
135,Jump Bank Shot,Jump Shot,336,21200305,33.9803,99,64,-118.1708,7,3,0,2012-13,23,11,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,12/11/2012,CLE
136,Layup Shot,Layup,40,20800772,34.0443,0,0,-118.2698,7,1,0,2008-09,28,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2/10/2009,OKC
137,Jump Shot,Jump Shot,194,20701003,33.9373,154,107,-118.1158,4,2,0,2007-08,26,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,3/18/2008,DAL
138,Jump Shot,Jump Shot,233,20801152,33.8333,155,211,-118.1148,0,2,0,2008-09,50,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/5/2009,LAC
139,Layup Shot,Layup,431,49900024,34.0443,0,0,-118.2698,8,4,1,1999-00,13,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/30/2000,SAC
